rule	scope	pos_4mC	pos_6mA	strand	distance	pair_class	inst
same_instance	T1	43757.0	43753.0	+	4.0	A0-C4	+43753
same_instance	T1	648454.0	648450.0	+	4.0	A0-C4	+648450
same_instance	T1	737000.0	736996.0	+	4.0	A0-C4	+736996
same_instance	T1	864750.0	864746.0	+	4.0	A0-C4	+864746
same_instance	T1	1001425.0	1001429.0	-	4.0	A0-C4	-1001423
same_instance	T1	1107137.0	1107141.0	-	4.0	A0-C4	-1107135
same_instance	T1	1147601.0	1147604.0	-	3.0	A1-C4	-1147599
same_instance	T1	1147601.0	1147605.0	-	4.0	A0-C4	-1147599
same_instance	T1	1157915.0	1157919.0	-	4.0	A0-C4	-1157913
same_instance	T1	1249047.0	1249043.0	+	4.0	A0-C4	+1249043
same_instance	T1	1282751.0	1282748.0	+	3.0	A1-C4	+1282747
same_instance	T1	1432370.0	1432374.0	-	4.0	A0-C4	-1432368
same_instance	T1	1550487.0	1550490.0	-	3.0	A1-C4	-1550485
same_instance	T1	1561813.0	1561817.0	-	4.0	A0-C4	-1561811
same_instance	T1	1589335.0	1589339.0	-	4.0	A0-C4	-1589333
same_instance	T1	1622768.0	1622772.0	-	4.0	A0-C4	-1622766
same_instance	T1	1625508.0	1625512.0	-	4.0	A0-C4	-1625506
same_instance	T1	1660897.0	1660894.0	+	3.0	A1-C4	+1660893
same_instance	T1	1724202.0	1724206.0	-	4.0	A0-C4	-1724200
same_instance	T1	1730344.0	1730347.0	-	3.0	A1-C4	-1730342
same_instance	T1	1806802.0	1806806.0	-	4.0	A0-C4	-1806800
same_instance	T1	1826514.0	1826518.0	-	4.0	A0-C4	-1826512
same_instance	T1	1879810.0	1879814.0	-	4.0	A0-C4	-1879808
same_instance	T1	1981062.0	1981066.0	-	4.0	A0-C4	-1981060
same_instance	T1	1981128.0	1981132.0	-	4.0	A0-C4	-1981126
same_instance	T1	2005273.0	2005277.0	-	4.0	A0-C4	-2005271
same_instance	T1	2005475.0	2005471.0	+	4.0	A0-C4	+2005471
same_instance	T1	2123459.0	2123463.0	-	4.0	A0-C4	-2123457
same_instance	T1	2140382.0	2140386.0	-	4.0	A0-C4	-2140380
same_instance	T1	2229753.0	2229757.0	-	4.0	A0-C4	-2229751
same_instance	T1	2262280.0	2262284.0	-	4.0	A0-C4	-2262278
same_instance	T1	2315380.0	2315383.0	-	3.0	A1-C4	-2315378
same_instance	T1	2315380.0	2315384.0	-	4.0	A0-C4	-2315378
same_instance	T1	2315797.0	2315801.0	-	4.0	A0-C4	-2315795
same_instance	T1	2362192.0	2362188.0	+	4.0	A0-C4	+2362188
same_instance	T1	2390760.0	2390763.0	-	3.0	A1-C4	-2390758
same_instance	T1	2390760.0	2390764.0	-	4.0	A0-C4	-2390758
same_instance	T1	2433113.0	2433109.0	+	4.0	A0-C4	+2433109
same_instance	T1	2435433.0	2435429.0	+	4.0	A0-C4	+2435429
same_instance	T1	2444866.0	2444862.0	+	4.0	A0-C4	+2444862
same_instance	T1	2488220.0	2488224.0	-	4.0	A0-C4	-2488218
same_instance	T1	2529756.0	2529760.0	-	4.0	A0-C4	-2529754
same_instance	T1	2559892.0	2559888.0	+	4.0	A0-C4	+2559888
same_instance	T1	2611797.0	2611800.0	-	3.0	A1-C4	-2611795
same_instance	T1	2628128.0	2628132.0	-	4.0	A0-C4	-2628126
same_instance	T1	2682951.0	2682947.0	+	4.0	A0-C4	+2682947
same_instance	T1	2812029.0	2812033.0	-	4.0	A0-C4	-2812027
same_instance	T1	2827804.0	2827808.0	-	4.0	A0-C4	-2827802
same_instance	T1	2922121.0	2922117.0	+	4.0	A0-C4	+2922117
same_instance	T1	2957833.0	2957837.0	-	4.0	A0-C4	-2957831
same_instance	T1	3032652.0	3032656.0	-	4.0	A0-C4	-3032650
same_instance	T1	3055831.0	3055827.0	+	4.0	A0-C4	+3055827
same_instance	T1	3170101.0	3170105.0	-	4.0	A0-C4	-3170099
same_instance	T1	3202932.0	3202935.0	-	3.0	A1-C4	-3202930
same_instance	T1	3221246.0	3221250.0	-	4.0	A0-C4	-3221244
same_instance	T1	3291269.0	3291265.0	+	4.0	A0-C4	+3291265
same_instance	T1	3345425.0	3345421.0	+	4.0	A0-C4	+3345421
same_instance	T1	3358878.0	3358874.0	+	4.0	A0-C4	+3358874
same_instance	T1	3385356.0	3385360.0	-	4.0	A0-C4	-3385354
same_instance	T1	3446532.0	3446536.0	-	4.0	A0-C4	-3446530
same_instance	T1	3468455.0	3468459.0	-	4.0	A0-C4	-3468453
same_instance	T1	3589598.0	3589602.0	-	4.0	A0-C4	-3589596
same_instance	T1	3638365.0	3638361.0	+	4.0	A0-C4	+3638361
same_instance	T1	3658324.0	3658320.0	+	4.0	A0-C4	+3658320
same_instance	T1	3767446.0	3767450.0	-	4.0	A0-C4	-3767444
same_instance	T1	3773893.0	3773896.0	-	3.0	A1-C4	-3773891
same_instance	T1	3773893.0	3773897.0	-	4.0	A0-C4	-3773891
same_instance	T1	3785239.0	3785243.0	-	4.0	A0-C4	-3785237
same_instance	T1	3818192.0	3818188.0	+	4.0	A0-C4	+3818188
same_instance	T1	3825686.0	3825682.0	+	4.0	A0-C4	+3825682
same_instance	T1	3825686.0	3825683.0	+	3.0	A1-C4	+3825682
same_instance	T1	3826788.0	3826784.0	+	4.0	A0-C4	+3826784
same_instance	T1	3826788.0	3826785.0	+	3.0	A1-C4	+3826784
same_instance	T1	3907584.0	3907580.0	+	4.0	A0-C4	+3907580
same_instance	T1	3907584.0	3907581.0	+	3.0	A1-C4	+3907580
same_instance	T1	3909837.0	3909841.0	-	4.0	A0-C4	-3909835
same_instance	T1	3910240.0	3910244.0	-	4.0	A0-C4	-3910238
same_instance	T1	3960373.0	3960369.0	+	4.0	A0-C4	+3960369
same_instance	T1	3960373.0	3960370.0	+	3.0	A1-C4	+3960369
same_instance	T1	4088379.0	4088375.0	+	4.0	A0-C4	+4088375
same_instance	T1	4088379.0	4088376.0	+	3.0	A1-C4	+4088375
same_instance	T1	4114596.0	4114600.0	-	4.0	A0-C4	-4114594
same_instance	T1	4119813.0	4119809.0	+	4.0	A0-C4	+4119809
same_instance	T1	4127928.0	4127932.0	-	4.0	A0-C4	-4127926
same_instance	T1	4129194.0	4129198.0	-	4.0	A0-C4	-4129192
same_instance	T1	4168542.0	4168538.0	+	4.0	A0-C4	+4168538
same_instance	T1	4173638.0	4173642.0	-	4.0	A0-C4	-4173636
same_instance	T1	4179018.0	4179014.0	+	4.0	A0-C4	+4179014
same_instance	T1	4226864.0	4226868.0	-	4.0	A0-C4	-4226862
same_instance	T1	4237135.0	4237139.0	-	4.0	A0-C4	-4237133
same_instance	T1	4263171.0	4263175.0	-	4.0	A0-C4	-4263169
